年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,市ケ谷,Ichigaya,◎,16883,9745,7138,16452,9745,6707,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,麹町,Kojimachi,,9828,5959,3869,9989,5959,4030,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,永田町,Nagatacho,◎,4759,2231,2528,4462,2231,2231,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,桜田門,Sakuradamon,,2403,1688,715,2364,1688,676,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,有楽町,Yurakucho,◎,24435,12224,12211,24832,12224,12608,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,銀座一丁目,Ginza-Itchome,,5693,2296,3397,6107,2296,3811,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,新富町,Shintomicho,◎,6461,3242,3219,6608,3242,3366,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,月島,Tsukishima,,12465,5318,7147,12083,5318,6765,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,豊洲,Toyosu,,36778,19686,17092,37164,19686,17478,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,辰巳,Tatsumi,,5002,3097,1905,4934,3097,1837,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,有楽町線,Yurakucho Line,新木場,Shin-Kiba,,16843,8696,8147,16550,8696,7854,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,,,※,250050,125852,124198,249077,125852,123225,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,渋谷,Shibuya,◎,85335,45990,39345,83285,45990,37295,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,表参道,Omote-Sando,◎,9472,3229,6243,10742,3229,7513,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,青山一丁目,Aoyama-Itchome,◎,8939,4018,4921,9392,4018,5374,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,永田町,Nagatacho,◎,5719,2234,3485,5582,2234,3348,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,半蔵門,Hanzomon,,13090,7172,5918,13204,7172,6032,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,九段下,Kudanshita,◎,11894,5616,6278,12141,5616,6525,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,神保町,Jimbocho,,15127,8327,6800,14762,8327,6435,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,大手町,Otemachi,◎,8775,4482,4293,8552,4482,4070,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,三越前,Mitsukoshimae,◎,9190,4599,4591,9078,4599,4479,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,水天宮前,Suitengumae,◎,12507,5354,7153,12449,5354,7095,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,清澄白河,Kiyosumi-Shirakawa,,10082,4379,5703,10020,4379,5641,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,住吉,Sumiyoshi,,9639,4919,4720,9536,4919,4617,,,,
令和5,2023,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,半蔵門線,Hanzomon Line,錦糸町,Kinshicho,,17944,8060,9884,18671,8060,10611,,,,
